Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Segunda fase,6,qui,2014-04-10,16:30 (17:30),Nacional py,3–2,co Santa Fe,,Estadio Defensores del Chaco,Martín Vázquez,Relatório da Partida,
Segunda fase,6,qui,2014-04-10,17:30,Atlético Mineiro br,1–0,ve Zamora,,Estádio Raimundo Sampaio,Roberto Tobar,Relatório da Partida,
Segunda fase,6,qui,2014-04-10,19:45,Peñarol uy,1–1,ve Anzoátegui,,Estadio Centenario,Diego Haro,Relatório da Partida,
Segunda fase,6,qui,2014-04-10,19:45,Arsenal ar,3–0,mx Santos,,Estadio Julio Humberto Grondona,Marcelo de Lima Henrique,Relatório da Partida,
Segunda fase,6,qua,2014-04-09,20:00 (21:00),Bolívar bo,2–1,ec CS Emelec,,Estadio Hernando Siles,Mauro Vigliano,Relatório da Partida,
Segunda fase,6,qua,2014-04-09,21:00,Flamengo br,2–3,mx León,,Estadio Jornalista Mário Filho,Diego Abal,Relatório da Partida,
Segunda fase,6,qua,2014-04-09,21:00,Cruzeiro br,3–0,pe Real Garcilaso,,Estádio Governador Magalhães Pinto,Adrián Vélez,Relatório da Partida,
Segunda fase,6,qua,2014-04-09,21:00,Defensor uy,1–1,cl Univ Chile,,Estadio Luis Franzini,Patricio Loustau,Relatório da Partida,
Segunda fase,6,qui,2014-04-10,21:00,Newell's OB ar,1–3,co Nacional,,Estadio Marcelo Alberto Bielsa,Antonio Arias,Relatório da Partida,
Segunda fase,6,qui,2014-04-10,21:00,Grêmio br,1–0,uy Nacional,,Arena do Grêmio,Óscar Maldonado,Relatório da Partida,
,,,,,,,,,,,,
Oitavas de final,,qua,2014-04-16,19:45,Lanús ar,2–1,mx Santos,,Estadio Ciudad de Lanús,Patricio Polic,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,qua,2014-04-16,20:00 (22:00),León mx,2–2,bo Bolívar,,Estadio León,Carlos Amarilla,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,qua,2014-04-16,22:00,Cruzeiro br,1–1,py Cerro Porteño,,Estádio Governador Magalhães Pinto,Daniel Fedorczuk,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,qui,2014-04-17,20:15 (21:15),The Strongest bo,2–0,uy Defensor,,Estadio Hernando Siles,Marcelo de Lima Henrique,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,qua,2014-04-23,18:45 (19:45),Nacional py,1–0,ar Vélez Sarsf,,Estadio Defensores del Chaco,Heber Roberto Lopes,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,ter,2014-04-22,20:15 (21:15),Bolívar bo,1–1,mx León,,Estadio Hernando Siles,Adrián Vélez,Relatório da Partida,Jogo de ida/volta 2 de 2; Bolívar venceu
Oitavas de final,,qua,2014-04-23,20:00 (22:00),Nacional co,1–0,br Atlético Mineiro,,Estadio Atanasio Girardot,Martín Vázquez,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,qua,2014-04-23,22:00,San Lorenzo ar,1–0,br Grêmio,,Estadio Pedro Bidegaín,Enrique Osses,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,qua,2014-04-23,22:10 (00:10),Santos mx,0–2,ar Lanús,,Estadio Nuevo Corona,Darío Ubríaco,Relatório da Partida,Jogo de ida/volta 2 de 2; Lanús venceu
Oitavas de final,,qui,2014-04-24,21:15,Arsenal ar,0–0,cl Unión Española,,Estadio Julio Humberto Grondona,Víctor Carrillo,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,ter,2014-04-29,19:15,Defensor uy,(4) 2–0 (2),bo The Strongest,,Estadio Luis Franzini,Antonio Arias,Relatório da Partida,Jogo de ida/volta 2 de 2; Defensor venceu; Defensor venceu por
Oitavas de final,,qua,2014-04-30,17:30 (18:30),Unión Española cl,0–1,ar Arsenal,,Estadio Santa Laura-Universidad SEK,Ricardo Marques Ribeiro,Relatório da Partida,Jogo de ida/volta 2 de 2; Arsenal venceu
Oitavas de final,,ter,2014-04-29,21:45,Vélez Sarsf ar,2–2,py Nacional,,Estadio José Amalfitani,Sandro Ricci,Relatório da Partida,Jogo de ida/volta 2 de 2; Nacional venceu
Oitavas de final,,qui,2014-05-01,19:15,Atlético Mineiro br,1–1,co Nacional,,Estádio Raimundo Sampaio,Patricio Loustau,Relatório da Partida,Jogo de ida/volta 2 de 2; Nacional venceu
Oitavas de final,,qua,2014-04-30,21:00 (22:00),Cerro Porteño py,0–2,br Cruzeiro,,Estadio General Pablo Rojas,Darío Ubríaco,Relatório da Partida,Jogo de ida/volta 2 de 2; Cruzeiro venceu
Oitavas de final,,qua,2014-04-30,22:00,Grêmio br,(2) 1–0 (4),ar San Lorenzo,,Arena do Grêmio,Roberto Silvera,Relatório da Partida,Jogo de ida/volta 2 de 2; San Lorenzo venceu; San Lorenzo venceu por
Quartas de final,,qua,2014-05-07,18:30 (19:30),Nacional py,1–0,ar Arsenal,,Estadio Defensores del Chaco,Wilmar Roldán,Relatório da Partida,Jogo de ida/volta 1 de 2
Quartas de final,,qui,2014-05-08,19:45,Lanús ar,1–1,bo Bolívar,,Estadio Ciudad de Lanús,Víctor Carrillo,Relatório da Partida,Jogo de ida/volta 1 de 2
Quartas de final,,qua,2014-05-07,21:00,San Lorenzo ar,1–0,br Cruzeiro,,Estadio Pedro Bidegaín,Antonio Arias,Relatório da Partida,Jogo de ida/volta 1 de 2
Quartas de final,,qui,2014-05-08,20:00 (22:00),Nacional co,0–2,uy Defensor,,Estadio Atanasio Girardot,Néstor Pitana,Relatório da Partida,Jogo de ida/volta 1 de 2
Quartas de final,,qua,2014-05-14,19:30,Arsenal ar,0–0,py Nacional,,Estadio Julio Humberto Grondona,Leandro Pedro Vuaden,Relatório da Partida,Jogo de ida/volta 2 de 2; Nacional venceu
Quartas de final,,qui,2014-05-15,18:30 (19:30),Bolívar bo,1–0,ar Lanús,,Estadio Hernando Siles,Roddy Zambrano,Relatório da Partida,Jogo de ida/volta 2 de 2; Bolívar venceu
Quartas de final,,qua,2014-05-14,22:00,Cruzeiro br,1–1,ar San Lorenzo,,Estádio Governador Magalhães Pinto,Martín Vázquez,Relatório da Partida,Jogo de ida/volta 2 de 2; San Lorenzo venceu
Quartas de final,,qui,2014-05-15,22:00,Defensor uy,1–0,co Nacional,,Estadio Centenario,Enrique Osses,Relatório da Partida,Jogo de ida/volta 2 de 2; Defensor venceu
Semifinais,,seg,2014-07-21,20:15 (21:15),Nacional py,2–0,uy Defensor,,Estadio Defensores del Chaco,Víctor Carrillo,Relatório da Partida,Jogo de ida/volta 1 de 2
Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Semifinais,,ter,2014-07-22,20:45,San Lorenzo ar,5–0,bo Bolívar,,Estadio Pedro Bidegaín,Hernando Buitrago,Relatório da Partida,Jogo de ida/volta 1 de 2
Semifinais,,seg,2014-07-28,22:15,Defensor uy,1–0,py Nacional,,Estadio Centenario,Ricardo Marques Ribeiro,Relatório da Partida,Jogo de ida/volta 2 de 2; Nacional venceu
Semifinais,,ter,2014-07-29,20:15 (21:15),Bolívar bo,1–0,ar San Lorenzo,,Estadio Hernando Siles,Carlos Vera,Relatório da Partida,Jogo de ida/volta 2 de 2; San Lorenzo venceu
Finais,,ter,2014-08-05,20:15 (21:15),Nacional py,1–1,ar San Lorenzo,,Estadio Defensores del Chaco,Wilmar Roldán,Relatório da Partida,Jogo de ida/volta 1 de 2
Finais,,ter,2014-08-12,22:15,San Lorenzo ar,1–0,py Nacional,,Estadio Pedro Bidegaín,Sandro Ricci,Relatório da Partida,Jogo de ida/volta 2 de 2; San Lorenzo venceu
Primeiro estágio,,ter,2015-02-03,19:15 (22:15),Alianza Lima pe,0–4,ar CA Huracán,,Estadio Alejandro Villanueva,Hernando Buitrago,Relatório da Partida,Jogo de ida/volta 1 de 2
Primeiro estágio,,ter,2015-02-03,20:30 (00:30),Morelia mx,1–1,bo The Strongest,10.000,Estadio Generalísimo José María Morelos ...,Jesús Valenzuela,Relatório da Partida,Jogo de ida/volta 1 de 2
Primeiro estágio,,qui,2015-02-05,19:45 (20:45),Palestino cl,1–0,uy Nacional,5.000,Estadio Santa Laura-Universidad SEK,Antonio Arias,Relatório da Partida,Jogo de ida/volta 1 de 2
Primeiro estágio,,qua,2015-02-04,21:45 (00:15),Dep Táchira ve,2–1,py Cerro Porteño,15.000,Estadio Polideportivo de Pueblo Nuevo,Víctor Carrillo,Relatório da Partida,Jogo de ida/volta 1 de 2
Primeiro estágio,,qua,2015-02-04,22:00,Corinthians br,4–0,co Once Caldas,35.000,Arena Corinthians,Patricio Loustau,Relatório da Partida,Jogo de ida/volta 1 de 2
